birdId,group,family,alphabeticalName,order,birdName,rarityType,habitat,SABAP2Ref,illustrationFile,mapFile,thumbnailFile,photosLocation,sonogramFile,sonogramName,soundName,resourceName,plateName,thumbnailName,mapNameBasic,mapNameZoomed,mapBarName,photoName,afrikaansName
598,Runners,Robins,"Robin, Swynnerton's",09_11_03,Swynnerton's Robin,rare,TBC,590,Birds/Runners/Robins/Swynnerton's Robin/birdviewillustration,Birds/Runners/Robins/Swynnerton's Robin/map,Birds/Runners/Robins/Swynnerton's Robin/thumbnail,Birds/Runners/Robins/Swynnerton's Robin/Photos/,Birds/Runners/Robins/Swynnerton's Robin/sonogram,robin_swynnertons_sonogram,robin_swynnertons_sound,robin_swynnertons,robin_swynnertons_plate,robin_swynnertons_thumbnail,map_robin_swynnertons_b,map_robin_swynnertons_z,bar_robin_swynnertons,robin_swynnertons,Bandkeeljanfrederik
599,Runners,Robins,"Robin-Chat, Chorister",09_11_04,Chorister Robin-Chat,uncommon,TBC,578,Birds/Runners/Robins/Chorister Robin-Chat/birdviewillustration,Birds/Runners/Robins/Chorister Robin-Chat/map,Birds/Runners/Robins/Chorister Robin-Chat/thumbnail,Birds/Runners/Robins/Chorister Robin-Chat/Photos/,Birds/Runners/Robins/Chorister Robin-Chat/sonogram,robin_chat_chorister_sonogram,robin_chat_chorister_sound,robin_chat_chorister,robin_chat_chorister_plate,robin_chat_chorister_thumbnail,map_robin_chat_chorister_b,map_robin_chat_chorister_z,bar_robin_chat_chorister,robinchat_chorister,Lawaaimakerjanfrederik
600,Runners,Robins,"Robin-Chat, Red-capped",09_11_05,Red-capped Robin-Chat,uncommon,TBC,579,Birds/Runners/Robins/Red-capped Robin-Chat/birdviewillustration,Birds/Runners/Robins/Red-capped Robin-Chat/map,Birds/Runners/Robins/Red-capped Robin-Chat/thumbnail,Birds/Runners/Robins/Red-capped Robin-Chat/Photos/,Birds/Runners/Robins/Red-capped Robin-Chat/sonogram,robin_chat_red_capped_sonogram,robin_chat_red_capped_sound,robin_chat_red_capped,robin_chat_red_capped_plate,robin_chat_red_capped_thumbnail,map_robin_chat_red_capped_b,map_robin_chat_red_capped_z,bar_robin_chat_red_capped,robinchat_redcapped,Nataljanfrederik
601,Runners,Robins,"Robin-Chat, White-browed",09_11_06,White-browed Robin-Chat,uncommon,TBC,580,Birds/Runners/Robins/White-browed Robin-Chat/birdviewillustration,Birds/Runners/Robins/White-browed Robin-Chat/map,Birds/Runners/Robins/White-browed Robin-Chat/thumbnail,Birds/Runners/Robins/White-browed Robin-Chat/Photos/,Birds/Runners/Robins/White-browed Robin-Chat/sonogram,robin_chat_white_browed_sonogram,robin_chat_white_browed_sound,robin_chat_white_browed,robin_chat_white_browed_plate,robin_chat_white_browed_thumbnail,map_robin_chat_white_browed_b,map_robin_chat_white_browed_z,bar_robin_chat_white_browed,robinchat_whitebrowed,Heuglinjanfrederik
602,Runners,Robins,"Robin-Chat, Cape",09_11_07,Cape Robin-Chat,common,TBC,581,Birds/Runners/Robins/Cape Robin-Chat/birdviewillustration,Birds/Runners/Robins/Cape Robin-Chat/map,Birds/Runners/Robins/Cape Robin-Chat/thumbnail,Birds/Runners/Robins/Cape Robin-Chat/Photos/,Birds/Runners/Robins/Cape Robin-Chat/sonogram,robin_chat_cape_sonogram,robin_chat_cape_sound,robin_chat_cape,robin_chat_cape_plate,robin_chat_cape_thumbnail,map_robin_chat_cape_b,map_robin_chat_cape_z,bar_robin_chat_cape,robinchat_cape,Gewone Janfrederik
603,Runners,Robins,"Robin-Chat, White-throated",09_11_08,White-throated Robin-Chat,uncommon,TBC,582,Birds/Runners/Robins/White-throated Robin-Chat/birdviewillustration,Birds/Runners/Robins/White-throated Robin-Chat/map,Birds/Runners/Robins/White-throated Robin-Chat/thumbnail,Birds/Runners/Robins/White-throated Robin-Chat/Photos/,Birds/Runners/Robins/White-throated Robin-Chat/sonogram,robin_chat_white_throated_sonogram,robin_chat_white_throated_sound,robin_chat_white_throated,robin_chat_white_throated_plate,robin_chat_white_throated_thumbnail,map_robin_chat_white_throated_b,map_robin_chat_white_throated_z,bar_robin_chat_white_throated,robinchat_whitethroated,Witkeeljanfrederik
604,Runners,Robins,"Chat, Angolan Cave",09_11_09,Angolan Cave Chat,rare,TBC,2758,Birds/Runners/Robins/Angolan Cave Chat/birdviewillustration,Birds/Runners/Robins/Angolan Cave Chat/map,Birds/Runners/Robins/Angolan Cave Chat/thumbnail,Birds/Runners/Robins/Angolan Cave Chat/Photos/,Birds/Runners/Robins/Angolan Cave Chat/sonogram,chat_angolan_cave_sonogram,chat_angolan_cave_sound,chat_angolan_cave,chat_angolan_cave_plate,chat_angolan_cave_thumbnail,map_chat_angolan_cave_b,map_chat_angolan_cave_z,bar_chat_angolan_cave,chat_angolan_cave,Angolajanfrederik
605,Runners,Robins,"Scrub Robin, White-browed",09_11_10,White-browed Scrub Robin,common,TBC,588,Birds/Runners/Robins/White-browed Scrub Robin/birdviewillustration,Birds/Runners/Robins/White-browed Scrub Robin/map,Birds/Runners/Robins/White-browed Scrub Robin/thumbnail,Birds/Runners/Robins/White-browed Scrub Robin/Photos/,Birds/Runners/Robins/White-browed Scrub Robin/sonogram,scrub_robin_white_browed_sonogram,scrub_robin_white_browed_sound,scrub_robin_white_browed,scrub_robin_white_browed_plate,scrub_robin_white_browed_thumbnail,map_scrub_robin_white_browed_b,map_scrub_robin_white_browed_z,bar_scrub_robin_white_browed,scrub_robin_whitebrowed,Gestreepte Wipstert
606,Runners,Robins,"Scrub Robin, Kalahari",09_11_11,Kalahari Scrub Robin,uncommon,TBC,586,Birds/Runners/Robins/Kalahari Scrub Robin/birdviewillustration,Birds/Runners/Robins/Kalahari Scrub Robin/map,Birds/Runners/Robins/Kalahari Scrub Robin/thumbnail,Birds/Runners/Robins/Kalahari Scrub Robin/Photos/,Birds/Runners/Robins/Kalahari Scrub Robin/sonogram,scrub_robin_kalahari_sonogram,scrub_robin_kalahari_sound,scrub_robin_kalahari,scrub_robin_kalahari_plate,scrub_robin_kalahari_thumbnail,map_scrub_robin_kalahari_b,map_scrub_robin_kalahari_z,bar_scrub_robin_kalahari,scrub_robin_kalahari,Kalahariwipstert
607,Runners,Robins,"Scrub Robin, Rufous-tailed",09_11_12,Rufous-tailed Scrub Robin,top,TBC,567,Birds/Runners/Robins/Rufous-tailed Scrub Robin/birdviewillustration,Birds/Runners/Robins/Rufous-tailed Scrub Robin/map,Birds/Runners/Robins/Rufous-tailed Scrub Robin/thumbnail,Birds/Runners/Robins/Rufous-tailed Scrub Robin/Photos/,Birds/Runners/Robins/Rufous-tailed Scrub Robin/sonogram,scrub_robin_rufous_tailed_sonogram,scrub_robin_rufous_tailed_sound,scrub_robin_rufous_tailed,scrub_robin_rufous_tailed_plate,scrub_robin_rufous_tailed_thumbnail,map_scrub_robin_rufous_tailed_b,map_scrub_robin_rufous_tailed_z,bar_scrub_robin_rufous_tailed,scrub_robin_rufoustailed,Rooistertwipstert
608,Runners,Robins,"Scrub Robin, Karoo",09_11_13,Karoo Scrub Robin,common,TBC,583,Birds/Runners/Robins/Karoo Scrub Robin/birdviewillustration,Birds/Runners/Robins/Karoo Scrub Robin/map,Birds/Runners/Robins/Karoo Scrub Robin/thumbnail,Birds/Runners/Robins/Karoo Scrub Robin/Photos/,Birds/Runners/Robins/Karoo Scrub Robin/sonogram,scrub_robin_karoo_sonogram,scrub_robin_karoo_sound,scrub_robin_karoo,scrub_robin_karoo_plate,scrub_robin_karoo_thumbnail,map_scrub_robin_karoo_b,map_scrub_robin_karoo_z,bar_scrub_robin_karoo,scrub_robin_karoo,Slangverklikker
609,Runners,Robins,"Scrub Robin, Brown",09_11_14,Brown Scrub Robin,uncommon,TBC,584,Birds/Runners/Robins/Brown Scrub Robin/birdviewillustration,Birds/Runners/Robins/Brown Scrub Robin/map,Birds/Runners/Robins/Brown Scrub Robin/thumbnail,Birds/Runners/Robins/Brown Scrub Robin/Photos/,Birds/Runners/Robins/Brown Scrub Robin/sonogram,scrub_robin_brown_sonogram,scrub_robin_brown_sound,scrub_robin_brown,scrub_robin_brown_plate,scrub_robin_brown_thumbnail,map_scrub_robin_brown_b,map_scrub_robin_brown_z,bar_scrub_robin_brown,scrub_robin_brown,Bruinwipstert
610,Runners,Robins,"Scrub Robin, Bearded",09_11_15,Bearded Scrub Robin,uncommon,TBC,585,Birds/Runners/Robins/Bearded Scrub Robin/birdviewillustration,Birds/Runners/Robins/Bearded Scrub Robin/map,Birds/Runners/Robins/Bearded Scrub Robin/thumbnail,Birds/Runners/Robins/Bearded Scrub Robin/Photos/,Birds/Runners/Robins/Bearded Scrub Robin/sonogram,scrub_robin_bearded_sonogram,scrub_robin_bearded_sound,scrub_robin_bearded,scrub_robin_bearded_plate,scrub_robin_bearded_thumbnail,map_scrub_robin_bearded_b,map_scrub_robin_bearded_z,bar_scrub_robin_bearded,scrub_robin_bearded,Baardwipstert
611,Runners,Chats & Wheatears,"Stonechat, African",09_12_01,African Stonechat,common,TBC,576,Birds/Runners/Chats & Wheatears/African Stonechat/birdviewillustration,Birds/Runners/Chats & Wheatears/African Stonechat/map,Birds/Runners/Chats & Wheatears/African Stonechat/thumbnail,Birds/Runners/Chats & Wheatears/African Stonechat/Photos/,Birds/Runners/Chats & Wheatears/African Stonechat/sonogram,stonechat_african_sonogram,stonechat_african_sound,stonechat_african,stonechat_african_plate,stonechat_african_thumbnail,map_stonechat_african_b,map_stonechat_african_z,bar_stonechat_african,stonechat_african,Gewone Bontrokkie
612,Runners,Chats & Wheatears,Whinchat,09_12_02,Whinchat,top,TBC,577,Birds/Runners/Chats & Wheatears/Whinchat/birdviewillustration,Birds/Runners/Chats & Wheatears/Whinchat/map,Birds/Runners/Chats & Wheatears/Whinchat/thumbnail,Birds/Runners/Chats & Wheatears/Whinchat/Photos/,Birds/Runners/Chats & Wheatears/Whinchat/sonogram,whinchat_sonogram,whinchat_sound,whinchat,whinchat_plate,whinchat_thumbnail,map_whinchat_b,map_whinchat_z,bar_whinchat,whinchat,Europese Bontrokkie
613,Runners,Chats & Wheatears,"Chat, Buff-streaked",09_12_03,Buff-streaked Chat,uncommon,TBC,569,Birds/Runners/Chats & Wheatears/Buff-streaked Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Buff-streaked Chat/map,Birds/Runners/Chats & Wheatears/Buff-streaked Chat/thumbnail,Birds/Runners/Chats & Wheatears/Buff-streaked Chat/Photos/,Birds/Runners/Chats & Wheatears/Buff-streaked Chat/sonogram,chat_buff_streaked_sonogram,chat_buff_streaked_sound,chat_buff_streaked,chat_buff_streaked_plate,chat_buff_streaked_thumbnail,map_chat_buff_streaked_b,map_chat_buff_streaked_z,bar_chat_buff_streaked,chat_buffstreaked,Bergklipwagter
614,Runners,Chats & Wheatears,"Wheatear, Capped",09_12_04,Capped Wheatear,common,TBC,568,Birds/Runners/Chats & Wheatears/Capped Wheatear/birdviewillustration,Birds/Runners/Chats & Wheatears/Capped Wheatear/map,Birds/Runners/Chats & Wheatears/Capped Wheatear/thumbnail,Birds/Runners/Chats & Wheatears/Capped Wheatear/Photos/,Birds/Runners/Chats & Wheatears/Capped Wheatear/sonogram,wheatear_capped_sonogram,wheatear_capped_sound,wheatear_capped,wheatear_capped_plate,wheatear_capped_thumbnail,map_wheatear_capped_b,map_wheatear_capped_z,bar_wheatear_capped,wheatear_capped,Hoëveldskaapwagter
615,Runners,Chats & Wheatears,"Wheatear, Northern",09_12_05,Northern Wheatear,top,TBC,563,Birds/Runners/Chats & Wheatears/Northern Wheatear/birdviewillustration,Birds/Runners/Chats & Wheatears/Northern Wheatear/map,Birds/Runners/Chats & Wheatears/Northern Wheatear/thumbnail,Birds/Runners/Chats & Wheatears/Northern Wheatear/Photos/,Birds/Runners/Chats & Wheatears/Northern Wheatear/sonogram,wheatear_northern_sonogram,wheatear_northern_sound,wheatear_northern,wheatear_northern_plate,wheatear_northern_thumbnail,map_wheatear_northern_b,map_wheatear_northern_z,bar_wheatear_northern,wheatear_northern,Europese Skaapwagter
616,Runners,Chats & Wheatears,"Wheatear, Isabelline",09_12_06,Isabelline Wheatear,top,TBC,1010,Birds/Runners/Chats & Wheatears/Isabelline Wheatear/birdviewillustration,Birds/Runners/Chats & Wheatears/Isabelline Wheatear/map,Birds/Runners/Chats & Wheatears/Isabelline Wheatear/thumbnail,Birds/Runners/Chats & Wheatears/Isabelline Wheatear/Photos/,Birds/Runners/Chats & Wheatears/Isabelline Wheatear/sonogram,wheatear_isabelline_sonogram,wheatear_isabelline_sound,wheatear_isabelline,wheatear_isabelline_plate,wheatear_isabelline_thumbnail,map_wheatear_isabelline_b,map_wheatear_isabelline_z,bar_wheatear_isabelline,wheatear_isabelline,Isabellaskaapwagter
617,Runners,Chats & Wheatears,"Wheatear, Pied",09_12_07,Pied Wheatear,top,TBC,1023,Birds/Runners/Chats & Wheatears/Pied Wheatear/birdviewillustration,Birds/Runners/Chats & Wheatears/Pied Wheatear/map,Birds/Runners/Chats & Wheatears/Pied Wheatear/thumbnail,Birds/Runners/Chats & Wheatears/Pied Wheatear/Photos/,Birds/Runners/Chats & Wheatears/Pied Wheatear/sonogram,wheatear_pied_sonogram,wheatear_pied_sound,wheatear_pied,wheatear_pied_plate,wheatear_pied_thumbnail,map_wheatear_pied_b,map_wheatear_pied_z,bar_wheatear_pied,wheatear_pied,Bontskaapwagter
